feature-id,NDVI_mean,NDVI_std,WET_mean,WET_std,NDBSI_mean,NDBSI_std,LST_mean,LST_std,RSEI_mean,RSEI_std,SI_mean,SI_std
SRR8423968,0.06543441116809845,0.0016135249752551317,-0.39581046375,0.008835718832774281,0.14734099755199326,0.004052596059377436,40.880000000000024,0.4357751713900024,0.16748205023142043,0.006441026669700962,0.21330225056351926,0.0022835300706240823
SRR8423969,0.034012503921985626,0.0005968314944766462,-0.30841632750000003,0.008501571766000453,0.13932599470515028,0.004319311074545718,47.12500000000003,0.4152408939398928,0.08725058724736713,0.006401276406465662,0.2145778069001939,0.008163562301962864
SRR8423970,0.14193721115589142,0.03250790759921074,-0.14007481249999998,0.0209533588435245,-0.013454122779337507,0.017601249141307725,40.130000000000024,0.34871191548326924,0.22385260828547676,0.005650815545534209,0.17253793690558616,0.008337464504362785
SRR8423971,0.07894504070281982,0.008275642059743404,-0.37077479375,0.01063565405045419,0.13409310710094408,0.003638568144887064,38.97250000000002,0.01299038105676707,0.20065003955226424,0.0015078014258694515,0.22596908205387933,0.002687952019573595
SRR8423972,0.1457395702600479,0.0032487271819263697,-0.33253865000000005,0.008869749440508449,0.10416731787694206,0.004299033855530123,37.762500000000024,0.875796066444692,0.2276921348596218,0.012375848396002705,0.18427732594080565,0.0030451452882174646
SRR8423973,0.28606942296028137,0.026436159387230873,-0.2426285983333334,0.015042287556270795,0.0562993061398934,0.0037611418744854853,23.643333333333374,1.8573338119166638,0.4590970178434828,0.025820336003796792,0.10995378270802895,0.006826725577849403
SRR8423974,0.11635478585958481,0.007636925671249628,-0.18152620499999997,0.009831795867964139,0.08169447513776272,0.01930029234313554,42.10666666666669,1.2683935596738969,0.1864087288625813,0.0198927254295657,0.1435452555671023,0.002987889532293025
SRR8423975,0.05629603937268257,0.0017783616203814745,-0.38481635249999996,0.008540152739635659,0.1789889842924124,0.0015134300478797803,38.49500000000005,0.2338268590218073,0.20454431502802708,0.004829205729359207,0.20254723912371536,0.002313075275483729
SRR8423976,-0.2506004869937897,0.036976408213377,0.22551411624999998,0.03940788176868546,-0.3537955909962398,0.05208846876458183,33.09500000000002,2.601504372473744,0.37369868964405845,0.034252235265355695,0.28982659309612574,0.056325781005433194
SRR8423977,0.05518915504217148,0.0003856048861052841,-0.391425353,0.002918658798596726,0.16923276143013827,0.003091557033520102,45.46600000000004,0.4182152555801924,0.09923432126706462,0.006066024284467921,0.2140420052579929,0.005016934930307831
SRR8423978,0.3457266688346863,0.0323273129761219,-0.15841240874999998,0.006863296513055301,-0.04000988429528996,0.008260023760490615,30.010000000000026,0.20012496096189514,0.3802178928592563,0.0038139411314187404,0.10111846434999455,0.0076327404036876925
SRR8423979,0.17344477772712708,0.03898336738348007,-0.31565357625,0.014794697304929235,0.09294174862320093,0.018862284794798526,32.59000000000004,2.061140461006972,0.30888329350937693,0.03469860594472695,0.1756579495996945,0.011165685784209217
SRR8423980,0.308824360370636,0.04286928102374077,-0.20963192375,0.012581056912843407,0.003128411863862045,0.01974433806797961,32.420000000000044,0.710000000000008,0.3342862083484547,0.011529240030929231,0.11481902753133238,0.008440983745237057
SRR8423981,0.07322348654270172,0.0025624509435147047,-0.37921742125,0.01183736004082806,0.16921156653821573,0.0014185924856126065,41.62250000000004,0.2035159698893426,0.15940068607720737,0.002689100439279506,0.19562055903316872,0.003900132960602329
SRR8423982,0.0778200551867485,0.0016719847917556763,-0.300738905,0.004055274999999969,0.1849621390608041,0.00044725379380866626,39.81500000000004,0.6350000000000051,0.1994706471268845,0.008758819709213508,0.14282281040730038,0.0003719350707982738
SRR8423983,0.15515471994876862,0.018120478838682175,-0.3345198166666667,0.015409983213290334,0.11761511064263826,0.011492778847665405,28.83333333333337,0.3013672547278698,0.36118579876093454,0.005609596623669832,0.1550849569495226,0.015694372047815923
SRR8423984,0.06763585656881332,0.002536130603402853,-0.3753752525,0.0032830735892767373,0.188702179301325,0.0018776441259087762,39.20500000000003,2.394958245982587,0.19592552710675493,0.03549842677260775,0.1778268609178779,0.0013816741799170214
SRR8423985,0.2432788908481598,0.027910830453038216,-0.25201600249999995,0.017571225768412007,0.08132178354464814,0.01803317333023423,24.22500000000003,0.8054036255195215,0.44714075766563927,0.010250719655556661,0.12105293375431456,0.00560084677249201
SRR8423986,0.1371651291847229,0.002333299722522497,-0.26071680375,0.0049811435821334885,0.11852637868054096,0.009112335257167028,27.90500000000003,0.32042939940024623,0.3864624110352586,0.004198223873702745,0.15330231393325122,0.008220460365907368
SRR8423987,0.06695854663848877,0.0011004963889718056,-0.2640233533333334,0.00864688827205617,0.16068025407388956,0.003127746063363665,35.356666666666676,0.68825060035491,0.27172145573967454,0.011752635205713447,0.15263891682276554,0.003697228543680503
SRR8423988,0.06256167590618134,0.0016346588963642716,-0.402740475,0.007452085994910244,0.1858445058797956,0.00457254802789502,44.53500000000001,1.2397882883783118,0.11157074247149405,0.0173822249439308,0.19212845649706542,0.004115655697419855
SRR8423989,0.051138266921043396,0.002471711253747344,-0.35577924625,0.0017208784887644216,0.1570589301588951,0.004001675021202763,40.84250000000004,1.16209670423765,0.1740389333535424,0.01711625830832057,0.2178833784324567,0.008827050049478941
SRR8423990,0.05809013918042183,0.0013539624633267522,-0.35219755875,0.006626733868851194,0.1590018456411872,0.0011784676976347875,41.18000000000002,0.06928203230276593,0.1698574498103124,0.0015230343668910197,0.21326485378432614,0.00832015553201487
SRR8423991,0.04122758284211159,0.0019910403061658144,-0.28354564125000004,0.01304222422120813,0.1205147220922081,0.0024343769301195628,44.99500000000003,0.6467418341193061,0.12347129516284633,0.00818086980331525,0.21551401302268075,0.011859589650394542
SRR8423992,0.11845654994249344,0.003248015884310007,-0.32342263375,0.007233104506748267,0.15695484892164172,0.0044946730395457575,36.25000000000004,0.9699484522385506,0.25066708795008646,0.014473966815811682,0.1571044223632543,0.0022620156674715477
SRR8423993,0.05144674330949783,0.0013023919891566038,-0.32727099625,0.004468593767978636,0.1478984901513533,0.007015607054795576,42.89500000000003,0.09526279441628775,0.14806262909544363,0.0014998111048208258,0.21586057577254444,0.011070024437914163
SRR8423994,0.20788165926933289,0.012478011660277843,-0.299203655,0.010789359456095502,0.09022070346281232,0.009714490207704419,30.585000000000022,0.1878163997099444,0.34292203071262395,0.001757262764060589,0.1435656284390861,0.011964159315210589
SRR8423995,0.20381829142570496,0.062339745461940765,-0.1764272825,0.011921112499999997,0.015817745361500317,0.03904051554098583,33.675000000000026,0.4650000000000176,0.3167964494531004,0.011417088271767406,0.14440820393580706,0.01090166655956129
SRR8423996,0.10676553845405579,0.003252397058531642,-0.35858090500000006,0.006372395395484119,0.13929220114364205,0.003206329721696978,32.035000000000025,3.3609931567916034,0.30744187256470246,0.05091004318053117,0.20034566005532373,0.0021237349029222187
SRR8423997,0.06989666074514389,0.0014695998979732394,-0.37532007,0.012173394456384684,0.14709761454469547,0.004602932191667501,41.48750000000003,0.45466333698682293,0.16194415831283704,0.00629762249187722,0.21553194414825777,0.0053531599595328045
SRR8423998,0.07642912119626999,0.006800495088100433,-0.37345721249999997,0.011483967665318,0.15842311933551,0.002617476619906276,37.505000000000024,0.4749999999999943,0.22202302167230226,0.008584880095504717,0.20120802111324632,0.0019929144258209264
SRR8423999,0.26369643211364746,0.030604885891079903,-0.131081255,0.002586265084351864,-0.03962728011589165,0.014380982646364903,32.37000000000003,0.3290896534380828,0.3461717375627402,0.003528468287043964,0.11987730372967362,0.0049557874423102844
SRR8424000,0.05603373423218727,0.0007570862653665245,-0.43914187250000003,0.0036112895070000714,0.18570492637794755,0.0009143783612402986,46.35000000000004,0.6246198844097095,0.07820766526007794,0.009701027108392914,0.2111782582433112,0.0009295109088105211
SRR8424001,0.04933207854628563,0.0017725215293467045,-0.39501771750000003,0.005375581635472685,0.16399252847690898,0.0022565414554007596,46.70000000000003,0.10677078252030918,0.07997256015194967,0.0010026287557739057,0.22603902100309842,0.0009563593293751635
SRR8424002,0.1131424754858017,0.0014810001011937857,-0.3357287,0.02050251193489715,0.13251099011908055,0.002221347476066195,36.42750000000003,0.6409904445465558,0.2458024433515822,0.011252104711057087,0.1815616073911653,0.009004274197137572
